source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0007268,chemical synaptic transmission,3.898863241857337e-33,True,"""The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:jl, MeSH:D009435]",775,189,57,21026,0.30158730158730157,0.07354838709677419,query_1,['GO:0098916']
GO:BP,GO:0099536,synaptic signaling,3.898863241857337e-33,True,"""Cell-cell signaling to, from or within a synapse."" [GOC:dos]",807,189,58,21026,0.30687830687830686,0.07187112763320942,query_1,['GO:0007267']
GO:BP,GO:0098916,anterograde trans-synaptic signaling,3.898863241857337e-33,True,"""Cell-cell signaling from pre to post-synapse, across the synaptic cleft."" [GOC:dos]",775,189,57,21026,0.30158730158730157,0.07354838709677419,query_1,['GO:0099537']
GO:BP,GO:0099537,trans-synaptic signaling,4.440401625379128e-33,True,"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]",781,189,57,21026,0.30158730158730157,0.07298335467349552,query_1,['GO:0099536']
GO:BP,GO:0007267,cell-cell signaling,3.230469254224981e-25,True,"""Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell. Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."" [GOC:dos, GOC:mah]",1342,189,62,21026,0.328042328042328,0.046199701937406856,query_1,"['GO:0007154', 'GO:0023052']"
GO:BP,GO:0042391,regulation of membrane potential,9.518248825016834e-19,True,"""Any process that modulates the establishment or extent of a membrane potential, the electric potential existing across any membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane."" [GOC:jl, GOC:mtg_cardio, GOC:tb, ISBN:0198506732]",458,189,34,21026,0.17989417989417988,0.07423580786026202,query_1,['GO:0065008']
GO:BP,GO:0006811,monoatomic ion transport,4.987670889037767e-18,True,"""The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:ai]",1282,189,52,21026,0.2751322751322751,0.0405616224648986,query_1,['GO:0006810']
GO:BP,GO:0007399,nervous system development,1.5540871714936772e-17,True,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",2604,189,73,21026,0.3862433862433862,0.02803379416282642,query_1,['GO:0048731']
GO:BP,GO:0098660,inorganic ion transmembrane transport,2.241673155420703e-16,True,"""The process in which an inorganic ion is transported across a membrane."" [GOC:mah]",944,189,43,21026,0.2275132275132275,0.045550847457627115,query_1,['GO:0055085']
GO:BP,GO:0055085,transmembrane transport,2.241673155420703e-16,True,"""The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."" [GOC:dph, GOC:jid]",1578,189,55,21026,0.291005291005291,0.03485424588086185,query_1,"['GO:0006810', 'GO:0009987']"
GO:BP,GO:0034220,monoatomic ion transmembrane transport,1.6043961135618958e-15,True,"""A process in which a monoatomic ion is transported across a membrane. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:mah]",1048,189,44,21026,0.2328042328042328,0.04198473282442748,query_1,"['GO:0006811', 'GO:0055085']"
GO:BP,GO:0007154,cell communication,2.2964482683456017e-15,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6540,189,116,21026,0.6137566137566137,0.017737003058103974,query_1,['GO:0009987']
GO:BP,GO:0065008,regulation of biological quality,2.635186582716292e-15,True,"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",2947,189,74,21026,0.3915343915343915,0.025110281642348152,query_1,['GO:0065007']
GO:BP,GO:0048666,neuron development,3.034961489196954e-15,True,"""The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dph]",1177,189,46,21026,0.24338624338624337,0.03908241291418862,query_1,"['GO:0030182', 'GO:0048468']"
GO:BP,GO:0022008,neurogenesis,5.182719626741972e-15,True,"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]",1771,189,56,21026,0.2962962962962963,0.03162055335968379,query_1,"['GO:0007399', 'GO:0030154']"
GO:BP,GO:0007610,behavior,7.766396652515086e-15,True,"""The internally coordinated responses (actions or inactions) of animals (individuals or groups) to internal or external stimuli, via a mechanism that involves nervous system activity."" [GOC:ems, GOC:jl, ISBN:0395448956, PMID:20160973]",674,189,35,21026,0.18518518518518517,0.05192878338278932,query_1,['GO:0032501']
GO:BP,GO:0030182,neuron differentiation,1.2381983858643987e-14,True,"""The process in which a relatively unspecialized cell acquires specialized features of a neuron."" [GOC:mah]",1451,189,50,21026,0.26455026455026454,0.03445899379738112,query_1,"['GO:0030154', 'GO:0048699']"
GO:BP,GO:0023052,signaling,1.3050230081043294e-14,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6515,189,114,21026,0.6031746031746031,0.017498081350729087,query_1,['GO:0050789']
GO:BP,GO:0006810,transport,1.3050230081043294e-14,True,"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]",4407,189,91,21026,0.48148148148148145,0.02064896755162242,query_1,['GO:0051234']
GO:BP,GO:0050804,modulation of chemical synaptic transmission,5.844520260108355e-14,True,"""Any process that modulates the frequency or amplitude of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse. Amplitude, in this case, refers to the change in postsynaptic membrane potential due to a single instance of synaptic transmission."" [GOC:ai]",513,189,30,21026,0.15873015873015872,0.05847953216374269,query_1,"['GO:0007268', 'GO:0099177']"
GO:BP,GO:0006812,monoatomic cation transport,5.844520260108355e-14,True,"""The directed movement of a monoatomic cation, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."" [GOC:ai]",1069,189,42,21026,0.2222222222222222,0.03928905519176801,query_1,['GO:0006811']
GO:BP,GO:0099177,regulation of trans-synaptic signaling,5.844520260108355e-14,True,"""Any process that modulates the frequency, rate or extent of trans-synaptic signaling."" [GOC:dos]",514,189,30,21026,0.15873015873015872,0.058365758754863814,query_1,"['GO:0010646', 'GO:0023051', 'GO:0099537']"
GO:BP,GO:0048699,generation of neurons,9.155802589593933e-14,True,"""The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons."" [GOC:nln]",1536,189,50,21026,0.26455026455026454,0.032552083333333336,query_1,['GO:0022008']
GO:BP,GO:0051179,localization,3.707508651682851e-13,True,"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]",5555,189,101,21026,0.5343915343915344,0.01818181818181818,query_1,['GO:0008150']
GO:BP,GO:0051234,establishment of localization,3.9937563845601896e-13,True,"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]",4928,189,94,21026,0.4973544973544973,0.019074675324675324,query_1,['GO:0051179']
GO:BP,GO:0030001,metal ion transport,5.069697677132071e-13,True,"""The directed movement of metal ions, any metal ion with an electric charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",883,189,37,21026,0.19576719576719576,0.04190260475651189,query_1,['GO:0006812']
GO:MF,GO:0015075,monoatomic ion transmembrane transporter activity,6.611148713568698e-13,True,"""Enables the transfer of an ion from one side of a membrane to the other."" [GOC:dgf, GOC:mtg_transport, ISBN:0815340729]",868,191,38,20246,0.19895287958115182,0.04377880184331797,query_1,['GO:0022857']
GO:MF,GO:0015318,inorganic molecular entity transmembrane transporter activity,6.611148713568698e-13,True,"""Enables the transfer of an inorganic molecular entity from the outside of a cell to the inside of the cell across a membrane. An inorganic molecular entity is a molecular entity that contains no carbon."" [GOC:mtg_transport, ISBN:0815340729]",827,191,37,20246,0.193717277486911,0.044740024183796856,query_1,['GO:0022857']
GO:BP,GO:0048731,system development,1.009209141337707e-12,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",4053,189,83,21026,0.43915343915343913,0.020478657784357267,query_1,"['GO:0007275', 'GO:0048856']"
GO:MF,GO:0005216,monoatomic ion channel activity,1.4044434826268575e-12,True,"""Enables the facilitated diffusion of a monoatomic ion (by an energy-independent process) by passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism. May be either selective (it enables passage of a specific ion only) or non-selective (it enables passage of two or more ions of same charge but different size)."" [GOC:cy, GOC:mtg_transport, GOC:pr, ISBN:0815340729]",547,191,30,20246,0.15706806282722513,0.054844606946983544,query_1,"['GO:0015075', 'GO:0015267']"
KEGG,KEGG:05032,Morphine addiction,1.6589332796310574e-12,True,Morphine addiction,89,105,16,8484,0.1523809523809524,0.1797752808988764,query_1,['KEGG:00000']
GO:BP,GO:0098655,monoatomic cation transmembrane transport,2.2015441285267818e-12,True,"""The process in which a monoatomic cation is transported across a membrane. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."" [GOC:dos, GOC:vw]",877,189,36,21026,0.19047619047619047,0.04104903078677309,query_1,"['GO:0006812', 'GO:0034220']"
GO:BP,GO:0098662,inorganic cation transmembrane transport,5.456770339563781e-12,True,"""A process in which an inorganic cation is transported from one side of a membrane to the other by means of some agent such as a transporter or pore."" [GOC:mah]",854,189,35,21026,0.18518518518518517,0.040983606557377046,query_1,['GO:0098660']
GO:BP,GO:0051049,regulation of transport,7.928855455307088e-12,True,"""Any process that modulates the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",1607,189,48,21026,0.25396825396825395,0.029869321717486,query_1,"['GO:0006810', 'GO:0032879']"
GO:BP,GO:0031175,neuron projection development,7.928855455307088e-12,True,"""The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:mah]",1023,189,38,21026,0.20105820105820105,0.03714565004887586,query_1,"['GO:0048666', 'GO:0120036']"
GO:BP,GO:0007611,learning or memory,1.3946019898754772e-11,True,"""The acquisition and processing of information and/or the storage and retrieval of this information over time."" [GOC:jid, PMID:8938125]",282,189,21,21026,0.1111111111111111,0.07446808510638298,query_1,"['GO:0007610', 'GO:0050890']"
GO:BP,GO:0032879,regulation of localization,1.46128866046278e-11,True,"""Any process that modulates the frequency, rate or extent of any process in which a cell, a substance, or a cellular entity is transported to, or maintained in, a specific location."" [GOC:mah]",2029,189,54,21026,0.2857142857142857,0.02661409561360276,query_1,"['GO:0050789', 'GO:0051179']"
GO:MF,GO:0015267,channel activity,1.4676195963535752e-11,True,"""Enables the energy-independent facilitated diffusion of a solute through a transmembrane aqueous pore or channel. Stereospecificity is not exhibited but this transport may be specific for a particular molecular species or class of molecules."" [GOC:mtg_transport, ISBN:0815340729]",610,191,30,20246,0.15706806282722513,0.04918032786885246,query_1,['GO:0022803']
GO:MF,GO:0022803,passive transmembrane transporter activity,1.4676195963535752e-11,True,"""Enables the transfer of a single solute from one side of a membrane to the other by a mechanism involving conformational change, either by facilitated diffusion or in a membrane potential dependent process if the solute is charged."" [GOC:mtg_transport, ISBN:0815340729]",610,191,30,20246,0.15706806282722513,0.04918032786885246,query_1,['GO:0022857']
GO:BP,GO:0034762,regulation of transmembrane transport,2.903979246298117e-11,True,"""Any process that modulates the frequency, rate or extent of the directed movement of a solute from one side of a membrane to the other."" [GOC:mah]",443,189,25,21026,0.13227513227513227,0.056433408577878104,query_1,"['GO:0050794', 'GO:0051049', 'GO:0055085']"
GO:BP,GO:0051932,"synaptic transmission, GABAergic",3.069050901985833e-11,True,"""The vesicular release of gamma-aminobutyric acid (GABA). from a presynapse, across a chemical synapse, the subsequent activation of GABA receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:dos, ISBN:0126603030]",62,189,12,21026,0.06349206349206349,0.1935483870967742,query_1,['GO:0007268']
GO:BP,GO:0043269,regulation of monoatomic ion transport,4.292789161805525e-11,True,"""Any process that modulates the frequency, rate or extent of the directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:jl]",452,189,25,21026,0.13227513227513227,0.05530973451327434,query_1,"['GO:0006811', 'GO:0051049']"
GO:BP,GO:0007275,multicellular organism development,6.21414644555696e-11,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4727,189,87,21026,0.4603174603174603,0.018404907975460124,query_1,"['GO:0032501', 'GO:0048856']"
GO:MF,GO:0022857,transmembrane transporter activity,1.1707001351619779e-10,True,"""Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other."" [GOC:jid, GOC:mtg_transport, ISBN:0815340729]",1235,191,41,20246,0.21465968586387435,0.03319838056680162,query_1,['GO:0005215']
GO:BP,GO:0048468,cell development,1.1854765666690554e-10,True,"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",2876,189,64,21026,0.3386243386243386,0.022253129346314324,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']"
GO:BP,GO:1901698,response to nitrogen compound,1.5736889797643576e-10,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]",1080,189,37,21026,0.19576719576719576,0.03425925925925926,query_1,['GO:0042221']
GO:BP,GO:0032501,multicellular organismal process,1.758668178401446e-10,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7322,189,113,21026,0.5978835978835979,0.01543294181917509,query_1,['GO:0008150']
KEGG,KEGG:04723,Retrograde endocannabinoid signaling,2.032569684045434e-10,True,Retrograde endocannabinoid signaling,148,105,17,8484,0.1619047619047619,0.11486486486486487,query_1,['KEGG:00000']
KEGG,KEGG:04727,GABAergic synapse,2.032569684045434e-10,True,GABAergic synapse,89,105,14,8484,0.13333333333333333,0.15730337078651685,query_1,['KEGG:00000']
GO:BP,GO:0050890,cognition,2.0329210914746942e-10,True,"""The operation of the mind by which an organism becomes aware of objects of thought or perception; it includes the mental activities associated with thinking, learning, and memory."" [ISBN:0721619908]",328,189,21,21026,0.1111111111111111,0.06402439024390244,query_1,['GO:0050877']
